area_sqft,bedrooms,bathrooms,age_years,waterfront,floors,condition,grade,price
2180,3,2.5,10,0,2.0,3,8,450000.0
3520,3,2.5,10,0,2.5,3,9,905000.0
2220,3,2.5,16,0,2.0,3,8,382450.0
1610,3,2.0,47,0,1.0,4,7,246700.0
1070,3,1.5,58,0,1.0,3,6,220000.0
1060,3,1.0,102,0,1.0,2,6,555750.0
1160,3,1.5,52,0,1.0,3,7,262500.0
910,2,1.0,65,0,1.0,3,7,515000.0
2970,3,2.5,16,0,2.0,3,9,499500.0
790,1,1.0,72,0,1.0,3,6,135000.0
1540,2,2.0,66,0,2.0,3,7,462500.0
3130,4,2.5,59,0,1.0,3,9,937500.0
1470,3,1.5,74,0,1.0,3,7,458000.0
3160,4,2.75,81,0,1.5,3,8,845000.0
2675,3,2.25,30,0,2.0,3,8,660000.0
1340,3,2.0,28,0,1.0,4,7,265000.0
3830,9,4.5,76,0,2.5,3,7,599999.0
1800,3,2.5,27,0,2.0,3,8,280000.0
2990,3,3.25,40,0,2.0,4,10,1055000.0
3720,4,3.0,54,0,1.0,4,9,875000.0
920,3,1.0,53,0,1.0,4,6,125000.0
3280,4,3.0,9,0,2.0,3,7,634800.0
1440,4,1.0,51,0,1.0,2,7,269950.0
1940,3,2.25,33,0,1.0,4,8,359950.0
1590,3,1.75,35,0,1.0,4,8,417000.0
1340,2,2.0,7,0,1.0,3,8,389000.0
3770,4,2.5,17,0,2.0,3,11,1038000.0
2680,6,2.5,47,0,1.0,5,7,698000.0
2820,4,2.5,7,0,2.0,3,8,685000.0
1520,3,1.75,82,0,1.0,3,5,198500.0
2560,4,2.5,3,0,2.0,3,8,350000.0
3310,3,2.5,96,0,1.0,3,8,649950.0
1540,3,1.5,47,0,1.0,3,7,441000.0
1430,3,1.75,50,0,1.0,4,8,462600.0
2506,4,2.5,9,0,2.0,3,7,365070.0
2250,4,2.0,58,0,1.0,5,7,550000.0
2740,5,1.75,70,0,1.0,4,7,470000.0
1540,3,1.75,37,0,1.0,3,6,340000.0
4190,4,2.75,49,0,1.0,4,9,910000.0
1690,4,1.75,36,0,1.0,3,7,405000.0
1990,4,2.25,82,0,1.5,4,8,661000.0
2410,4,2.5,21,0,2.0,3,9,635000.0
1150,2,1.0,67,0,1.0,3,7,282000.0
1720,4,1.75,59,0,2.0,3,7,235000.0
1260,3,2.0,33,0,2.0,4,7,277500.0
2020,5,2.5,37,0,1.0,4,8,346500.0
2240,5,2.25,56,0,1.0,3,7,480000.0
1930,4,2.25,18,0,2.0,3,8,360000.0
1820,3,2.5,20,0,1.0,3,7,245000.0
1560,3,3.5,19,0,2.0,3,8,625000.0
2170,5,3.0,103,0,1.5,4,8,750500.0
1600,3,1.75,38,0,1.0,3,8,525000.0
3760,4,3.5,16,0,2.0,3,9,740000.0
1240,3,1.5,57,0,1.0,4,7,523000.0
1090,3,1.75,86,0,1.5,5,8,292000.0
2740,4,2.5,54,0,1.0,3,8,625000.0
3110,3,2.5,13,0,2.0,3,9,700000.0
1610,3,2.5,8,0,2.0,3,7,399950.0
1880,4,3.5,8,0,3.0,3,8,545000.0
1740,4,2.0,60,0,1.0,5,6,339999.0
3270,4,2.25,105,0,2.0,5,8,1210000.0
1990,3,2.5,11,0,2.0,3,8,545000.0
1960,4,1.75,48,0,1.0,4,8,260000.0
1680,3,1.75,22,0,1.0,3,7,526000.0
2910,4,3.0,11,0,2.0,3,9,701000.0
1500,3,2.25,46,0,1.0,4,7,290000.0
580,1,1.0,106,0,1.0,3,7,330600.0
2540,3,1.75,66,0,1.0,3,7,550500.0
950,2,1.0,66,0,1.0,3,7,430000.0
810,2,1.0,86,0,1.0,3,7,260600.0
4080,5,3.0,53,0,2.0,4,8,825000.0
1820,4,2.0,58,0,1.0,5,7,378950.0
2650,4,2.5,15,0,2.0,3,7,435000.0
1670,3,2.25,0,0,2.0,3,9,631000.0
2480,3,2.5,28,0,2.0,3,8,415000.0
1240,3,1.75,47,0,1.0,3,8,222000.0
1390,3,2.0,27,0,1.0,3,7,245000.0
2880,3,2.5,30,0,2.0,4,10,720000.0
1060,3,1.0,54,0,1.0,4,7,215000.0
1070,2,1.0,90,0,1.0,3,7,579100.0
1640,4,1.75,71,0,1.5,4,7,522500.0
1510,3,2.0,42,0,1.0,4,7,489000.0
1230,3,1.0,90,0,1.5,4,6,240000.0
1510,3,2.0,8,0,1.0,3,8,420250.0
3180,4,2.5,47,0,2.0,3,8,523000.0
2260,4,2.0,56,0,1.0,3,8,628000.0
1920,4,2.5,25,0,2.0,4,8,320000.0
1980,3,2.5,15,0,2.0,3,8,359950.0
1200,2,1.0,56,0,1.0,4,6,232000.0
2020,4,2.25,53,0,1.0,4,8,810000.0
2010,4,1.5,93,0,1.5,4,7,245000.0
1930,3,2.25,31,0,1.0,3,7,273000.0
2710,5,2.5,56,0,1.0,3,8,1191000.0
1950,5,1.0,98,0,1.5,4,7,438000.0
2110,3,1.75,55,0,1.0,4,8,400000.0
1250,3,1.0,63,0,1.0,4,7,340000.0
1380,2,2.5,8,0,3.0,3,9,552000.0
2050,3,1.75,23,0,2.0,3,8,790000.0
1800,3,1.5,83,0,2.0,3,8,360000.0
1310,3,1.0,81,0,1.0,3,7,235000.0
1010,2,1.0,101,0,1.0,3,7,775000.0
1850,3,2.75,49,0,1.5,5,7,489200.0
1750,3,2.25,37,0,2.0,4,8,341000.0
2154,4,2.5,2,0,2.0,3,8,335000.0
1230,3,1.75,11,0,2.0,3,8,393500.0
1960,3,2.0,74,0,1.0,4,6,360000.0
1070,4,1.0,92,0,1.0,3,6,400800.0
1450,3,1.0,75,0,1.0,3,7,585000.0
3680,4,2.75,78,0,2.0,3,9,1600000.0
5760,4,2.5,20,0,2.0,4,12,2880500.0
1220,3,1.0,59,0,1.0,4,7,300000.0
2950,4,2.75,102,0,2.0,5,7,1045000.0
1340,3,1.5,15,0,2.0,3,7,360000.0
2870,4,2.25,88,0,2.0,4,8,665900.0
2590,4,1.0,103,0,1.5,4,7,470000.0
2090,4,1.75,51,0,1.0,4,8,581000.0
3000,6,3.5,35,0,1.0,3,8,527000.0
1730,4,1.75,60,0,1.0,4,7,423000.0
2850,4,3.5,88,0,1.5,3,7,875000.0
1020,3,1.0,63,0,1.0,3,7,410000.0
2200,3,2.5,18,0,2.0,3,9,606000.0
3240,3,2.5,18,0,2.0,3,7,654000.0
490,3,0.75,55,0,1.5,4,5,150000.0
2990,3,2.5,11,0,1.0,3,7,373000.0
2450,5,2.0,114,0,1.0,4,7,550000.0
1900,3,2.5,24,0,2.0,3,8,512500.0
2640,4,2.5,12,0,2.0,3,7,360000.0
1340,3,2.0,17,0,3.0,3,8,369000.0
3220,4,2.5,11,0,2.0,3,9,825000.0
930,3,2.0,36,0,1.0,3,7,255000.0
3240,4,2.5,68,0,1.0,3,10,1285000.0
2630,5,2.5,46,0,1.5,4,8,270000.0
1730,3,2.5,18,0,2.0,3,8,480680.0
2120,4,1.75,50,0,1.0,3,8,525000.0
880,3,1.0,68,0,1.5,5,6,291500.0
1800,4,2.0,40,0,1.0,4,7,305000.0
1600,3,1.75,17,0,1.0,3,7,285000.0
3280,3,2.5,89,1,2.0,3,11,1875000.0
3290,5,1.75,47,0,1.0,3,7,329500.0
2890,4,2.25,30,1,3.0,3,10,1570000.0
1730,3,2.5,23,0,1.0,3,7,379260.0
1590,3,2.5,14,0,2.0,3,7,356000.0
1710,4,1.75,58,0,1.0,4,7,571900.0
1995,3,1.75,57,0,2.0,3,7,271500.0
1300,3,1.75,48,0,1.0,4,7,390000.0
2720,3,2.5,30,0,1.0,3,8,550000.0
1360,2,2.5,16,0,2.0,3,8,755000.0
1590,2,2.5,20,0,2.0,3,8,509500.0
1200,2,1.0,73,0,1.0,3,7,486700.0
1170,2,1.0,104,0,1.5,3,7,527500.0
2010,5,2.5,102,0,1.5,3,6,475000.0
1880,3,2.75,13,0,2.0,3,7,268000.0
3250,3,2.0,37,0,2.0,4,8,562000.0
2270,4,2.5,39,0,1.0,4,9,780000.0
3680,9,3.0,107,0,2.0,3,7,700000.0
1880,3,2.0,83,0,1.0,4,8,710000.0
1050,3,1.0,67,0,1.0,4,7,445000.0
2250,3,3.25,9,0,1.0,3,9,729000.0
1689,3,3.25,6,0,3.0,3,8,384400.0
2860,6,3.0,53,0,1.0,3,8,815000.0
2710,4,2.5,24,0,3.0,4,10,865000.0
1770,3,2.0,47,0,1.0,4,7,514000.0
2820,4,2.75,49,0,1.0,3,8,615000.0
3400,4,3.25,34,0,1.0,4,8,865000.0
3110,4,2.5,10,0,2.0,3,9,755000.0
1480,4,1.0,62,0,1.0,3,7,425000.0
940,2,1.0,104,0,1.0,3,6,375000.0
2680,4,2.5,6,0,2.0,3,8,750000.0
3190,4,2.75,9,0,2.0,3,9,722000.0
1920,3,2.5,66,0,2.0,3,9,1011000.0
2610,3,2.5,18,0,2.0,3,9,725000.0
1040,3,0.75,67,0,1.0,2,6,170000.0
2880,4,3.25,33,0,1.0,3,11,845000.0
1450,3,2.0,24,0,2.0,4,7,271900.0
3902,6,4.5,37,0,3.0,4,9,1300000.0
2460,4,2.5,37,0,1.0,3,8,261500.0
2170,3,2.5,11,0,2.0,3,9,619500.0
1970,5,2.25,28,0,1.0,3,7,435000.0
1000,3,1.0,60,0,1.0,3,7,210000.0
1580,3,2.0,105,0,1.0,4,7,489950.0
2130,4,1.5,52,0,1.0,3,7,260000.0
1370,4,1.0,65,0,1.0,3,7,300000.0
2150,4,2.0,49,0,1.0,3,8,530000.0
1370,3,1.75,37,0,1.0,4,8,235000.0
1370,3,1.0,97,0,2.0,4,8,593500.0
3290,3,3.0,39,0,2.0,4,8,562000.0
3190,3,2.0,21,0,2.0,3,9,585000.0
4140,4,3.25,37,0,1.0,3,10,2400000.0
1690,3,1.75,29,0,1.0,3,7,199500.0
1690,5,1.0,100,0,1.5,3,7,544500.0
1430,3,1.0,53,0,1.0,3,7,394900.0
1980,4,3.75,5,0,2.0,3,9,912000.0
1490,3,2.5,24,0,2.0,4,7,260000.0
3620,5,3.0,51,0,1.0,5,8,858000.0
2720,4,2.5,51,0,1.0,5,9,1275000.0
1490,4,1.75,45,0,1.0,4,7,242150.0
1230,3,1.75,28,0,1.0,3,7,220000.0
1900,3,2.0,38,0,1.0,4,7,235000.0
1530,3,1.75,36,0,1.0,4,7,370000.0
2290,3,1.75,33,0,1.0,3,8,450000.0
2240,5,1.5,58,0,1.0,3,8,534950.0
3470,4,2.5,10,0,2.0,3,9,730000.0
3050,4,2.5,31,0,1.0,4,8,465000.0
1100,3,1.0,59,0,1.0,4,7,178000.0
1610,3,1.0,39,0,1.0,3,7,215000.0
1910,3,2.75,31,0,1.0,3,8,300000.0
1510,3,2.0,41,0,1.0,3,7,430000.0
1280,3,1.5,29,0,2.0,4,6,183000.0
1910,3,2.5,7,0,2.5,3,8,585000.0
1170,3,1.0,45,0,2.0,4,6,192950.0
1550,2,1.0,84,0,1.0,3,7,599000.0
1060,3,1.0,46,0,1.0,4,7,326500.0
1040,2,1.0,70,0,1.0,3,7,358803.0
1550,3,2.5,15,0,2.0,5,7,537000.0
2490,3,2.5,53,1,1.0,4,9,1155000.0
920,2,1.0,65,0,1.0,4,6,156000.0
1250,3,1.0,76,0,1.5,5,6,219000.0
2540,3,1.5,93,0,2.0,4,8,1190000.0
2190,5,1.75,37,0,1.0,3,8,248000.0
1340,3,1.75,28,0,1.0,4,7,340000.0
2410,5,2.5,40,0,1.0,4,8,899100.0
1830,3,1.75,51,0,1.0,3,7,346950.0
1850,3,1.0,86,0,2.0,3,6,330000.0
1410,3,1.0,60,0,1.0,3,7,325000.0
1460,3,1.75,39,0,1.0,3,8,315000.0
1500,3,2.5,0,0,2.0,3,9,649950.0
1130,3,1.0,72,0,1.5,4,6,316000.0
1620,2,2.5,6,0,2.0,3,8,386000.0
2330,2,1.75,33,0,1.0,3,7,535000.0
1520,3,3.0,12,0,3.0,3,7,600000.0
2840,4,2.5,13,0,2.0,3,8,339000.0
1520,3,2.0,65,0,1.0,3,7,167000.0
1740,3,1.0,62,0,1.0,3,8,430000.0
4000,4,4.0,7,0,2.0,3,9,688000.0
2780,3,2.25,66,0,1.0,4,9,834500.0
3500,4,4.25,63,0,1.0,5,9,1075000.0
1060,3,1.0,54,0,1.0,3,7,250000.0
1290,3,1.0,89,0,1.5,3,7,402500.0
2390,3,2.5,36,0,1.0,3,8,432500.0
2460,5,1.75,42,0,1.0,3,7,485000.0
2930,4,2.75,36,0,1.0,4,9,560000.0
2200,4,2.25,24,0,2.0,3,7,410000.0
1870,3,2.5,34,0,1.0,3,8,455000.0
2060,4,2.5,39,0,1.0,4,7,459500.0
1610,4,1.75,46,0,1.0,3,7,371000.0
2120,3,2.25,13,0,2.0,3,7,289500.0
1450,3,3.5,7,0,2.0,3,8,395000.0
1980,2,1.0,91,0,1.0,4,7,496752.0
860,2,1.0,71,0,1.0,3,6,227000.0
1460,3,1.75,29,0,1.0,3,7,330000.0
2590,5,2.0,57,0,1.0,4,7,480000.0
1120,2,1.0,38,0,1.0,3,6,290000.0
1340,3,1.0,69,0,1.5,4,5,281000.0
1780,4,1.5,89,0,1.5,3,8,705000.0
2920,4,2.5,105,0,1.5,5,8,1400000.0
2820,4,3.25,56,0,1.0,3,7,485000.0
1550,3,2.25,12,0,3.0,3,8,622000.0
1600,3,2.25,56,0,1.0,4,8,380000.0
3190,4,2.75,32,0,2.0,4,10,2125000.0
1960,3,1.75,75,0,1.0,4,7,561500.0
970,3,1.0,42,0,1.0,3,7,242000.0
1360,3,1.5,48,0,1.0,4,7,348500.0
1360,3,1.5,49,0,1.0,4,7,370000.0
3810,6,3.75,38,0,2.0,4,8,752000.0
1340,3,1.75,29,0,1.0,3,7,230000.0
1990,3,2.25,3,0,3.0,3,9,715000.0
1120,3,1.75,47,0,1.0,3,7,240415.0
2060,4,1.75,92,0,1.5,3,7,562000.0
1170,3,1.5,97,0,1.0,5,6,360000.0
1610,3,2.5,0,0,2.0,3,9,659950.0
1890,3,2.0,2,0,2.0,3,9,458500.0
1070,2,2.0,7,0,2.0,3,9,259950.0
1680,3,1.75,25,0,1.0,3,8,366000.0
2890,4,2.75,1,0,2.0,3,9,978000.0
1360,2,1.0,68,0,1.0,3,7,525000.0
1660,3,1.5,107,0,2.0,3,8,926300.0
1620,2,1.0,64,0,1.0,3,7,750000.0
960,2,1.0,72,0,1.0,4,6,660000.0
1000,4,1.75,67,0,1.5,4,6,305000.0
2395,2,2.5,12,0,1.0,3,8,800000.0
3050,4,1.75,49,0,1.0,3,8,600000.0
1120,2,1.0,42,0,1.5,4,6,435000.0
2960,4,3.25,8,0,2.0,3,9,1135000.0
1250,3,2.25,6,0,3.0,3,8,318000.0
1940,4,2.0,104,0,1.0,4,7,639000.0
1750,3,2.5,38,0,2.0,3,8,453000.0
2150,4,1.75,59,0,1.0,4,7,800000.0
1500,2,1.75,72,0,1.0,4,7,437000.0
3230,3,2.75,89,1,2.0,3,7,1150000.0
3000,4,2.5,29,0,2.0,3,8,490000.0
1520,4,1.75,47,0,1.0,4,7,499950.0
1190,3,1.5,46,0,1.0,3,7,160134.0
990,3,1.0,61,0,1.0,3,7,191000.0
1250,3,1.0,50,0,1.0,3,7,221000.0
2080,4,2.0,54,0,1.0,3,7,352800.0
1640,3,2.5,27,0,2.0,3,7,350000.0
1550,4,1.5,96,0,1.5,3,7,458000.0
1290,3,1.0,54,0,1.0,4,7,359950.0
3250,3,3.0,11,0,2.0,3,10,1050000.0
1260,3,1.75,72,0,1.0,5,6,353000.0
2840,3,3.5,8,0,3.0,3,10,717550.0
1960,3,2.25,37,0,2.0,4,8,450000.0
760,3,1.0,111,0,1.0,2,5,167500.0
2240,3,1.75,38,0,2.0,5,8,550000.0
2240,4,2.25,45,0,2.0,4,9,939000.0
1820,3,1.75,67,0,1.0,3,8,700000.0
3370,4,3.5,9,0,2.0,3,9,480000.0
1160,3,1.0,85,0,1.0,4,8,501000.0
1640,3,2.25,28,0,1.0,3,8,580000.0
820,1,0.75,15,0,1.0,3,5,527550.0
2800,4,2.5,9,0,2.0,3,9,399000.0
1780,3,1.75,58,0,1.5,3,6,240000.0
2200,4,2.75,26,0,1.0,3,7,353000.0
1480,4,2.0,104,0,1.0,5,6,335000.0
2010,3,3.0,14,0,2.0,3,7,475000.0
2880,3,2.0,88,0,1.5,4,7,660000.0
940,3,1.0,114,0,1.0,5,6,551000.0
1620,4,1.75,47,0,1.0,3,7,249950.0
4400,4,3.25,26,0,2.0,3,11,1150000.0
1530,3,1.75,59,0,1.0,3,7,575000.0
3460,4,2.75,40,0,1.0,4,9,1088890.0
2890,4,2.5,8,0,2.0,3,7,515000.0
1980,3,1.5,55,0,1.0,3,7,235000.0
1980,3,1.0,102,0,1.5,3,8,796000.0
1450,2,1.5,31,0,1.0,3,7,450000.0
4280,4,3.0,43,0,1.0,5,11,2050000.0
1810,4,2.5,20,0,2.0,3,7,270000.0
2490,3,3.0,15,1,2.0,3,10,1705000.0
1610,3,1.0,87,0,1.5,5,7,565000.0
1820,1,2.5,104,0,2.0,3,7,680000.0
3520,4,2.5,22,0,2.0,4,10,864500.0
3740,4,2.25,63,0,1.0,4,9,1150000.0
2150,3,2.25,23,0,2.0,3,7,335000.0
3526,4,3.25,18,0,2.0,3,10,911000.0
1070,2,1.0,64,0,1.0,3,7,425000.0
1410,3,1.0,65,0,1.0,3,7,299950.0
3190,4,2.5,15,0,2.0,3,10,864000.0
1270,2,1.0,76,0,1.0,3,7,425000.0
1970,4,1.5,51,0,1.5,4,7,374950.0
1640,3,2.25,46,0,1.0,4,8,247000.0
1600,3,1.0,61,0,1.0,3,8,475000.0
3020,3,2.5,11,0,2.0,3,7,275000.0
1350,2,1.0,67,0,1.0,3,6,355000.0
1870,4,1.75,56,0,1.0,3,7,285000.0
2730,3,2.75,51,1,1.5,3,9,1338750.0
1100,2,1.0,34,0,1.0,3,7,325000.0
4320,5,3.5,18,0,2.0,4,11,1670000.0
2700,3,2.5,55,0,1.0,4,7,402000.0
3700,3,3.0,14,0,1.0,3,10,1100000.0
2190,4,1.75,55,0,1.0,4,7,375000.0
2840,5,2.75,54,0,1.0,3,7,396000.0
2610,4,2.75,27,0,1.0,4,8,320000.0
2630,3,2.5,13,0,2.0,3,8,610000.0
1090,3,1.5,48,0,1.0,5,7,249950.0
3090,4,3.5,16,0,2.0,3,9,675000.0
1670,2,2.0,96,0,1.0,4,6,448000.0
1300,3,1.0,115,0,2.0,3,7,819000.0
3670,3,2.5,31,0,1.0,3,10,1250000.0
1700,4,2.5,20,0,2.0,3,8,225000.0
2560,2,3.0,10,0,1.0,3,8,790000.0
2770,4,2.5,22,0,2.0,3,8,685000.0
3240,3,3.25,13,0,2.0,3,9,812000.0
2300,2,2.5,7,0,1.0,3,8,705000.0
2483,4,3.0,10,0,2.0,3,8,360000.0
760,1,1.5,9,0,3.0,3,8,344000.0
2040,4,1.5,111,0,2.0,3,9,825000.0
1200,3,1.0,70,0,1.0,4,7,476500.0
960,2,1.0,65,0,1.0,5,7,379500.0
2410,3,1.75,34,0,1.0,3,8,620000.0
2260,3,3.25,14,0,2.0,3,8,477590.0
1910,3,1.0,68,0,1.0,4,7,490000.0
1500,3,1.5,87,0,1.5,4,7,470000.0
1360,3,2.25,8,0,2.0,3,8,500000.0
1320,3,1.0,32,0,1.0,3,7,370000.0
1940,2,1.5,92,0,1.0,3,7,790000.0
2650,4,2.5,28,0,2.0,3,8,725000.0
3040,4,2.75,108,0,2.0,3,9,840000.0
1240,3,1.0,62,0,1.0,4,7,390000.0
2210,3,2.25,56,0,1.0,4,7,507000.0
1540,3,1.75,63,0,1.0,4,6,263500.0
1320,3,2.5,10,0,2.0,3,8,369000.0
3040,3,2.5,6,0,2.0,3,9,500000.0
910,2,1.0,92,0,1.0,4,7,570000.0
2040,4,3.0,21,0,1.0,3,8,284000.0
980,2,1.0,67,0,1.0,3,7,415000.0
980,3,1.0,111,0,1.5,3,6,197500.0
4420,4,3.75,52,0,2.0,3,9,925000.0
1570,3,2.0,61,0,1.0,3,7,468000.0
1600,3,1.0,84,0,1.5,5,6,355000.0
1830,4,1.75,75,0,1.0,4,7,639000.0
2820,3,2.5,24,0,2.0,3,11,720000.0
1800,3,1.75,64,0,1.0,5,6,381000.0
4380,3,4.0,31,0,2.0,5,11,1050000.0
2980,3,3.0,9,0,2.0,3,9,670000.0
1690,3,1.0,72,0,1.0,3,7,400000.0
4040,4,3.5,27,0,2.0,3,11,910000.0
1250,3,1.0,84,0,1.0,3,6,294000.0
1500,3,1.75,47,0,1.0,2,7,315001.0
1630,3,2.0,55,0,1.0,5,7,360000.0
1410,3,2.0,112,0,2.0,4,7,520000.0
1140,3,1.0,70,0,1.0,4,6,474000.0
3280,4,2.5,11,0,2.0,3,7,702000.0
3490,4,3.5,13,0,2.0,3,9,728000.0
2020,4,2.5,22,0,2.0,3,8,308000.0
4580,5,4.0,10,1,3.0,3,10,2000000.0
2270,3,2.5,28,0,2.0,3,8,340000.0
1310,2,1.75,68,0,1.0,4,6,306500.0
1420,3,2.0,111,0,1.5,4,7,716000.0
2980,4,3.0,33,0,2.0,2,10,950000.0
4180,5,3.0,11,0,2.0,3,7,673200.0
1950,4,2.25,54,0,1.0,3,7,564500.0
1790,4,1.75,41,0,1.0,4,8,393000.0
1400,5,1.75,99,0,1.0,3,5,425000.0
1320,3,1.0,35,0,1.0,3,7,150000.0
1620,4,2.25,35,0,1.0,3,8,327000.0
3120,4,2.5,17,0,2.0,3,9,444900.0
2100,4,2.5,16,0,2.0,3,8,305000.0
1370,3,3.25,10,0,3.0,3,8,469000.0
1520,3,1.75,45,0,1.0,5,8,525000.0
2410,3,2.5,37,0,1.0,3,7,330000.0
1260,4,1.0,103,0,1.0,4,7,618000.0
2830,4,2.5,32,0,1.0,3,8,295500.0
2064,3,2.0,111,0,2.0,5,7,567035.0
2640,4,2.25,37,0,1.0,3,8,518000.0
1020,2,1.0,37,0,1.0,3,7,303000.0
2200,4,2.5,16,0,2.0,3,7,300000.0
1420,3,1.5,58,0,1.0,4,7,413107.0
1350,3,1.0,100,0,1.5,5,6,400000.0
1290,3,1.0,74,0,1.0,4,7,535000.0
1680,4,2.0,99,0,1.0,5,7,555000.0
2280,3,2.5,6,0,2.0,3,8,312000.0
1840,3,2.25,104,0,1.5,5,8,785200.0
2040,4,2.0,55,0,1.0,3,7,749000.0
1490,3,1.5,58,0,1.0,3,7,285000.0
2440,4,2.5,7,0,2.0,3,7,425000.0
1930,3,2.0,56,0,1.0,3,8,360000.0
1200,3,1.0,61,0,1.0,4,7,260000.0
1550,3,2.0,55,0,1.0,3,7,369000.0
2180,4,2.5,36,0,1.0,4,8,275000.0
1430,3,2.25,9,0,3.0,3,8,407000.0
1230,2,1.75,66,0,1.0,3,8,575000.0
1670,3,1.5,87,0,2.0,4,8,1236000.0
2720,2,2.5,79,0,1.0,4,8,875000.0
2220,4,1.5,53,0,1.0,4,7,320000.0
1520,3,1.5,60,0,1.0,4,7,810000.0
1590,3,1.75,31,0,1.0,4,7,274000.0
1480,4,1.75,55,0,1.0,3,7,239900.0
1860,4,1.5,61,0,1.0,3,7,450000.0
1360,4,2.0,54,0,1.0,3,6,263400.0
1360,3,1.0,61,0,1.0,3,6,265000.0
2360,4,3.0,54,0,1.0,3,7,418000.0
2360,3,2.0,11,0,2.0,3,8,390000.0
1860,3,2.0,106,0,1.0,3,7,430000.0
2630,3,2.25,28,0,2.5,4,8,1442500.0
1280,2,1.75,18,0,1.0,4,7,297000.0
2330,4,2.25,27,0,2.0,3,8,650000.0
720,2,1.0,64,0,1.0,3,6,195000.0
3380,3,3.5,15,0,2.0,3,9,554000.0
3650,3,2.0,23,0,2.0,4,7,550000.0
1640,3,1.75,64,0,1.5,5,7,700000.0
1730,4,1.0,66,0,1.5,3,5,300000.0
1030,2,1.0,62,0,1.5,5,6,315000.0
1790,3,1.0,71,0,1.0,3,7,603000.0
840,2,1.0,90,0,1.0,4,7,530000.0
1300,3,1.75,45,0,1.0,3,7,397500.0
1240,3,1.0,111,0,1.5,4,6,221000.0
2170,4,2.25,38,0,1.0,3,7,466000.0
1330,3,1.0,109,0,2.0,5,7,197500.0
1390,3,3.0,9,0,2.0,3,7,280000.0
1240,2,1.5,105,0,1.0,4,6,412000.0
880,2,1.0,64,0,1.0,4,7,454000.0
2540,4,2.25,24,0,1.0,3,8,540000.0
2520,5,1.5,86,0,1.5,4,7,250000.0
2510,5,2.25,48,0,1.0,3,9,900000.0
2020,5,1.75,52,0,1.0,3,7,245000.0
2060,3,1.75,27,0,1.0,3,7,290000.0
930,2,1.0,82,0,1.0,3,6,160000.0
2700,2,1.5,105,0,1.5,3,8,1260000.0
1060,2,1.0,76,0,1.0,3,7,325000.0
670,2,1.0,68,0,1.0,4,5,185000.0
1750,3,2.0,98,0,1.0,3,7,477000.0
930,2,1.0,72,0,1.0,2,6,100000.0
2420,4,2.5,30,0,1.0,3,8,345000.0
2410,4,2.25,50,0,1.0,4,7,530000.0
1150,3,1.0,61,0,1.0,4,6,203000.0
2480,4,2.5,10,0,2.0,3,7,599000.0
1310,4,1.0,74,0,1.5,3,7,370000.0
1240,3,1.0,61,0,1.0,4,6,140000.0
1150,3,1.0,103,0,2.0,3,8,500000.0
1460,3,1.75,86,0,1.0,4,7,527200.0
3060,5,2.75,35,0,1.0,5,8,549900.0
3520,4,2.5,9,0,2.0,3,9,760000.0
960,2,1.0,63,0,1.0,4,7,319000.0
2430,3,2.5,17,0,2.0,3,8,362300.0
1930,3,2.5,42,0,1.0,4,7,421000.0
1090,3,1.0,70,0,1.5,4,7,690000.0
2790,3,2.5,61,0,1.0,5,8,640000.0
1650,4,1.75,36,0,1.0,3,7,238000.0
3740,3,3.0,23,0,2.0,3,10,789000.0
5310,6,4.0,48,0,2.0,3,10,1050000.0
1690,3,2.5,7,0,2.0,3,7,302500.0
1400,4,1.75,52,0,1.0,3,7,259950.0
1440,3,1.5,39,0,1.0,4,7,456000.0
1360,3,2.5,27,0,2.0,3,7,369950.0
1726,3,1.75,32,0,2.0,4,7,363750.0
2220,3,1.75,25,0,1.0,3,8,585000.0
1850,3,2.5,28,0,2.0,3,7,268000.0
2860,5,2.5,104,0,2.0,4,8,1200000.0
1120,3,1.0,109,0,1.0,3,6,345000.0
2340,4,2.5,22,0,2.0,3,9,539000.0
3760,5,3.25,30,0,2.0,3,9,851000.0
1920,3,2.5,18,0,2.0,3,10,900000.0
3230,3,2.5,69,0,2.0,5,8,850000.0
1260,3,1.75,48,0,1.0,4,7,390000.0
1540,3,1.75,59,0,1.0,4,7,345000.0
1700,3,2.5,9,0,2.0,3,8,534500.0
3600,6,5.25,43,0,2.0,3,7,643500.0
3150,3,2.75,90,0,1.5,4,8,1206500.0
1280,2,1.75,86,0,1.0,4,7,495000.0
980,2,1.0,64,0,1.0,3,7,535000.0
2190,4,2.5,10,0,2.0,3,7,435000.0
2470,4,2.0,5,0,2.0,3,7,305000.0
2590,4,2.5,13,0,2.0,3,9,799000.0
2580,4,2.5,15,0,2.0,3,9,700000.0
1270,3,2.25,9,0,2.0,3,8,467000.0
1250,3,1.0,56,0,1.0,3,6,263000.0
4660,4,2.5,11,0,2.0,3,9,760000.0
2019,4,2.5,7,0,2.0,3,8,293000.0
1490,3,2.0,25,0,1.0,3,7,245000.0
1560,2,1.5,65,0,1.0,2,7,181000.0
1030,3,1.0,53,0,1.0,4,7,240000.0
2560,4,2.75,39,0,1.0,4,8,880000.0
1460,3,2.0,19,0,1.0,3,7,285000.0
770,2,1.0,65,0,1.0,3,7,407500.0
1960,4,2.5,10,0,2.0,3,7,325000.0
1900,3,1.75,36,0,1.0,3,7,405000.0
